standard_bangla,dialect_v1,dialect_v2,dialect_v3,dialect_v4,dialect_v5,dialect
তারা মুরগির মাংস খাচ্ছে,হেরা মুরগির মাংস খাইতে লাগজে,হেরা মুরগির গোস্ত খাইতাছে,হেরা মুরগির মাংস খাইতে আছে,হ্যারা মুরহার গোস্ত খাইতে আছে,হেরা মুরগির গোস্ত খাইতে লাগজে,barishal
করিম শরবত পান করছে,করিম শরবত খাইতে লাগজে,করিম শরবত পান করতাছে,করিম শরবত খাইতে আছে,করিম শরবত খাইতে আছে,করিম শরবত খাইতে লাগজে,barishal
তিনি পায়েস তৈরি করেছেন,হে সিন্নি বানাইছে,হে পায়েস বানাইছে,হে সিন্নি বানাইছে,হ্যায় পায়েস বানাইছে,হে সিন্নি বানাইছে,barishal
আমরা আজ রাতের খাবারে খিচুড়ি খাবো,মোরা আইজগো রাইতের খাওনে খিচুড়ি খামু,মোরা আইজ রাইতের খাওনে খিচুড়ি খাইমু,মোরা আইজগো রাইতের খাওনে খিচুড়ি খামু,মোরা আইজ রাইতের খাওনে খিচুড়ি খামু,মোরা আইজগো রাইতের খাওনে খিচুড়ি খামু,barishal
তুমি কি ডিম সেদ্ধ খাবে ,তুই কি ডিম হিদ্ধ খাবি ,তুমি কি ডিম সিদ্ধ খাইবা,তুই কি ডিম হিদ্ধ খাবি ,তুমি কি ডিম হাইদ্দা খাবা,তুই কি ডিম হিদ্ধ খাবি ,barishal
সে এক কাপ গরম চা বানালো,হেয় এক কাপ গরম চা বানাইছে,হে এক কাপ গরম চা বানাইলো,হেয় এক কাপ গরম চা বানাইছে,হ্যায় এক কাপ গরম চা বানাইছে,হেয় এক কাপ গরম চা বানাইছে,barishal
আমার বোন আলু ভর্তা বানিয়েছে,মোর বুইনে আলু ভর্তা বানাইছে,মোর বইন আলু ভর্তা বানাইছে,মোর বুইনে আলু ভর্তা বানাইছে,মোর বুইন আলু ভর্তা বানাইছে,মোর বুইনে আলু ভর্তা বানাইছে,barishal
তারা পোলাও রান্না করছে,হেরা পোলাও রানতে লাগজে,হেরা পোলাও রান্ধতাছে,হেরা পোলাও রানতে আছে,হ্যারা পোলাও রানতে আছে,হেরা পোলাও রানতে লাগজে,barishal
সে ঠান্ডা লাচ্ছি পান করছে,হে কাল লাচ্ছি খাইতে লাগজে,হে ঠান্ডা লাচ্ছি পান করতাছে,হে কাল লাচ্ছি খাইতে আছে,হ্যায় ঠান্ডা লাচ্ছি খাইতে আছে,হে কাল লাচ্ছি খাইতে লাগজে,barishal
শিক্ষক গরম স্যুপ খাচ্ছেন,মাস্টারে গরম সুপ খাইতে লাগজে,মাষ্টার গরম স্যুপ খাইতাছে,মাস্টারে গরম সুপ খাইতে আছে,শিক্কক গরম স্যুপ খাইতে আছে,মাস্টারে গরম সুপ খাইতে লাগজে,barishal
বাচ্চারা নুডলস খাচ্ছে,পোলাপান নুডুছ খাইতে লাগজে,পোলাপান নুডলস খাইতাছে,পোলাপান নুডুছ খাইতে আছে,গেদুরা নুডলস খাইতে আছে,পোলাপান নুডুছ খাইতে লাগজে,barishal
তিনি মাংস ভুনা করেছেন,হে মাংস ভোনতে লাগজে,হে গোস্ত ভুনা করছে,হে মাংস ভোনতে আছে,হ্যায় গোস্ত ভুনা করছে,হে গোস্ত ভোনতে লাগজে,barishal
আমি আপেলের জুস পান করছি,মুই আপেলের শরবত খাইতে আছি,মুই আপেলের জুস পান করতাছি,মুই আপেলের শরবত খাইতে আছি,মুই আপেলের জুস খাইতে আছি,মুই আপেলের শরবত খাইতে আছি,barishal
আমার দাদা খুব গল্প বলেন,মোর দাদায় মেলা গল্প কয়,মোর দাদা বেমালা গপ্পো কয়,মোর দাদায় মেলা গল্প কয়,মোর দাদা বেমালা কেসসা কয়,মোর দাদায় মেলা গল্প কয়,barishal
সে আমার প্রিয় চাচা,হে মোর পরানের কাক্কু,হে মোর প্রিয় চাচা,হে মোর পরানের কাক্কু,হ্যায় মোর পিরিও চাচা,হে মোর পরানের কাক্কু,barishal
আমার বোন স্কুলে যায়,মোর বুইনে ইস্কুলে যায়,মোর বইন ইস্কুলে যায়,মোর বুইনে ইস্কুলে যায়,মোর বুইন ইসকুলে যায়,মোর বুইনে ইস্কুলে যায়,barishal
তোমার মা খুব ভালো রান্না করেন,তোগো মায় মেলা ভালো রান্দে,তোমার মা বেমালা ভালো রান্ধে,তোগো মায় মেলা ভালো রান্দে,তোমার মায় বেমালা ভালো রান্দে,তোগো মায় মেলা ভালো রান্দে,barishal
আমরা সবাই মিলে ভাইয়ের বিয়েতে যাবো,মোরা হগ্গলডিতে মিল্যা ম্যাভাইয়ের বিয়াতে যামু,মোরা সবাই মিল্লা ভাইয়ের বিয়াতে যামু,মোরা হগ্গলডিতে মিল্যা ম্যাভাইয়ের বিয়াতে যামু,মোরা হগলডি মিল্লা ভাইর বিয়ায় যামু,মোরা হগ্গলডিতে মিল্যা ম্যাভাইয়ের বিয়াতে যামু,barishal
তারা আমার প্রতিবেশী,হেরা মোর প্রেত্তিবেশি,হেরা মোর পড়শী,হেরা মোর প্রেত্তিবেশি,হ্যারা মোর লগের বাড়ির মানু,হেরা মোর প্রেত্তিবেশি,barishal
আমার বান্ধবী খুব ভালো গান গায়,মোর বান্ধবী মেলা ভালো গান গায়,মোর বান্ধব বেমালা ভালো গান গায়,মোর বান্ধবী মেলা ভালো গান গায়,মোর বান্ধুবি বেমালা ভালো গান গায়,মোর বান্ধবী মেলা ভালো গান গায়,barishal
আমার বাবা একজন শিক্ষক,মোর বাপে একজন মাস্টের,মোর বাপ একজন মাষ্টার,মোর বাপে একজন মাস্টের,মোর বাপ একজন শিক্কক,মোর বাপে একজন মাস্টের,barishal
সে আমার দূর সম্পর্কের আত্মীয়,হে মোর দূর সম্পর্কের আত্মীয়,হে মোর দূর সম্পর্কের আত্নীয়,হে মোর দূর সম্পর্কের আত্মীয়,হ্যায় মোর দূর সম্পর্কের আত্নীয়,হে মোর দূর সম্পর্কের আত্মীয়,barishal
আমার বন্ধু আমাকে সাহায্য করে,মোর বন্ধু মোরে সাহায্য হরে,মোর বন্ধু মোরে সাহায্য করে,মোর বন্ধু মোরে সাহায্য হরে,মোর দোস্তো মোরে সাহাইয্য করে,মোর বন্ধু মোরে সাহায্য হরে,barishal
আমার খালা খুব দয়ালু,মোর খালা মেলা দয়ালু,মোর খালা বেমালা দয়ালু,মোর খালা মেলা দয়ালু,মোর খালা বেমালা দয়ালু,মোর খালা মেলা দয়ালু,barishal
তিনি আমার পরিবারের একজন সদস্য,হে মোর বাড়ীর লোক,হে মোর পরিবারের একজন সদস্য,হে মোর বাড়ীর লোক,হ্যায় মোর পরিবারের একজন মানু,হে মোর বাড়ীর লোক,barishal
আমরা প্রতি বছর পরিবারের সাথে পিকনিক করি,মোরা পোত্তেক বচ্ছোর পরিবারের লগে পিকনিক হরি,মোরা প্রতি বছর পরিবারের লগে পিকনিক হরি,মোরা পোত্তেক বচ্ছোর পরিবারের লগে পিকনিক হরি,মোরা পেরতেক বছর পরিবারের লগে পিকনিক করি,মোরা পোত্তেক বচ্ছোর পরিবারের লগে পিকনিক হরি,barishal
তোমার ভাই কি করে ,তোর ভাই কি হরে ,তোমার ভাই কি করে,তোর ভাই কি হরে ,তোমার ভাই কি করে,তোর ভাই কি হরে ,barishal
আমার মামা বিদেশে থাকেন,মোর মামায় বিদেশে থাহে,মোর মামা বিদেশে থাহে,মোর মামায় বিদেশে থাহে,মোর মামা বিদেশে থাহে,মোর মামায় বিদেশে থাহে,barishal
সে আমার ঘনিষ্ঠ বন্ধু,হে মোর কাছের বন্ধু,হে মোর ঘনিষ্ট বন্ধু,হে মোর কাছের বন্ধু,হ্যায় মোর কাছের দোস্তো,হে মোর কাছের বন্ধু,barishal
আমার দাদী আমাকে অনেক আদর করেন,মোগো বুয়ায় মোরে মেলা ভালো পায়,মোর দাদী মোরে বেমালা আদর করে,মোগো বুয়ায় মোরে মেলা ভালো পায়,মোর দাদি মোরে বেমালা আদর করে,মোগো বুয়ায় মোরে মেলা ভালো পায়,barishal
তারা আমার সহপাঠী,হেরা মোর লগে পড়ে,হেরা মোর সহপাঠী,হেরা মোর লগে পড়ে,হ্যারা মোর সহপাঠী,হেরা মোর লগে পড়ে,barishal
আমার চাচী খুব সুন্দর শাড়ি পরেন,মোর চাচী আম্মায় খুউব সুন্দার শাড়ি পেন্দে,মোর চাচী বেমালা সুন্দর শাড়ি পরে,মোর চাচী আম্মায় খুউব সুন্দার শাড়ি পেন্দে,মোর চাচী বেমালা সুন্দর শাড়ি পরে,মোর চাচী আম্মায় খুউব সুন্দার শাড়ি পেন্দে,barishal
সে আমার পুরোনো বন্ধু,হে মোর পুরান বন্ধু,হে মোর পুরান বন্ধু,হে মোর পুরান বন্ধু,হ্যায় মোর পুরান দোস্তো,হে মোর পুরান বন্ধু,barishal
আমার পরিবারের সবাই একসাথে থাকি,মোরা বাড়ীর হগ্গলডিতে একলগে থাহি,মোর পরিবারের সবাই একসাথে থাহি,মোরা বাড়ীর হগ্গলডিতে একলগে থাহি,মোর পরিবারের হগলডি একলগে থাহি,মোরা বাড়ীর হগ্গলডিতে একলগে থাহি,barishal
তিনি আমার শিক্ষক ও বন্ধু,হে মোর মাস্টার আর বন্ধু,হে মোর মাষ্টার আর বন্ধু,হে মোর মাস্টার আর বন্ধু,হ্যায় মোর শিক্কক আর দোস্তো,হে মোর মাস্টার আর বন্ধু,barishal
আমার কাজিন খুব মজার মানুষ,মোর চাচতো ভাই খুউব মজার মানু,মোর কাজিন বেমালা মজার মানুষ,মোর চাচতো ভাই খুউব মজার মানু,মোর কাজিন বেমালা মজার মানু,মোর চাচতো ভাই খুউব মজার মানু,barishal
আমরা প্রায়ই বন্ধুদের সাথে আড্ডা দিই,মোরা মাঝেমদ্ধেই বন্ধুগো লগে গপ্পো মারি,মোরা প্রায়ই বন্ধুদের লগে আড্ডা দিই,মোরা মাঝেমদ্ধেই বন্ধুগো লগে গপ্পো মারি,মোরা প্রায়ই দোস্তগো লগে আড্ডা দেই,মোরা মাঝেমদ্ধেই বন্ধুগো লগে গপ্পো মারি,barishal
আম খুব মিষ্টি ফল,আম মেলা মিডা ফল,আম বেমালা মিষ্টি ফল,আম মেলা মিডা ফল,আম বেমালা মিষ্টি ফল,আম মেলা মিডা ফল,barishal
সে কলা খাচ্ছে,হে কলা খাইতে লাগজে,হে কলা খাইতাছে,হে কলা খাইতে আছে,হ্যায় কলা খাইতে আছে,হে কলা খাইতে লাগজে,barishal
আমার বোন আপেল পছন্দ করে,মোর বুইনে আপেল ভালো পায়,মোর বইন আপেল পছন্দ করে,মোর বুইনে আপেল ভালো পায়,মোর বুইন আপেল পছন্দ করে,মোর বুইনে আপেল ভালো পায়,barishal
তোমার বাবা কি কমলা কিনেছেন ,তোগো আব্বায় কি কমোলা কেনছে ,তোমার বাপ কি কমলা কিনছে,তোগো আব্বায় কি কমোলা কেনছে ,তোমার বাপ কি কমলা কিনছে,তোগো আব্বায় কি কমোলা কেনছে ,barishal
আমরা আজ তরমুজ খাবো,মোরা আইজগো তরমুজ খামু,মোরা আইজ তরমুজ খাইমু,মোরা আইজগো তরমুজ খামু,মোরা আইজ তরমুজ খামু,মোরা আইজগো তরমুজ খামু,barishal
তারা আঙ্গুর খাচ্ছে,হেরা আঙ্গুর খাইতে লাগজে,হেরা আঙ্গুর খাইতাছে,হেরা আঙ্গুর খাইতে আছে,হ্যারা আঙ্গুর খাইতে আছে,হেরা আঙ্গুর খাইতে লাগজে,barishal
পেয়ারা খুব সুস্বাদু,গইয়্যা মেলা টেঁস,পেয়ারা বেমালা সুস্বাদু,গইয়্যা মেলা টেঁস,হোবরি বেমালা সুস্বাদু,গইয়্যা মেলা টেঁস,barishal
মেয়েটি আনারস পছন্দ করে,মাইয়াউজ্ঞা আনারস ভালো পায়,মাইয়াডা আনারস পছন্দ করে,মাইয়াউজ্ঞা আনারস ভালো পায়,মাইয়াডা আনারস পছন্দ করে,মাইয়াডা আনারস ভালো পায়,barishal
দোকানদার পেঁপে বিক্রি করছে,দোহান্দার পোম্বা ব্যাচতে লাগজে,দোকানদার পেঁপে বেচতাছে,দোহান্দার পোম্বা ব্যাচতে আছে,দোকানদার কোম্বা বেচতে আছে,দোহান্দার পোম্বা ব্যাচতে লাগজে,barishal
আমি জাম খাচ্ছি,মুই জাম খাইতে আছি,মুই জাম খাইতাছি,মুই জাম খাইতে আছি,মুই জাম খাইতে আছি,মুই জাম খাইতে আছি,barishal
তিনি লিচু এনেছেন,হে লিচু আনছে,হে লিচু আনছে,হে লিচু আনছে,হ্যায় লিচু আনছে,হে লিচু আনছে,barishal
তারা কাঁঠাল খাচ্ছে,হেরা কাডাল খাইতে লাগজে,হেরা কাঁঠাল খাইতাছে,হেরা কাডাল খাইতে আছে,হ্যারা কাঁঠাল খাইতে আছে,হেরা কাডাল খাইতে লাগজে,barishal
করিম ডালিম পছন্দ করে,করিম ডালিম ভালো পায়,করিম ডালিম পছন্দ করে,করিম ডালিম ভালো পায়,করিম ডালিম পছন্দ করে,করিম ডালিম ভালো পায়,barishal
সে স্ট্রবেরি জুস পান করছে,হে স্ট্রবেরির শরবত খাইতে লাগজে,হে স্ট্রবেরি জুস পান করতাছে,হে স্ট্রবেরির শরবত খাইতে আছে,হ্যায় স্ট্রবেরি জুস খাইতে আছে,হে স্ট্রবেরির শরবত খাইতে লাগজে,barishal
আমরা আজ রাতের খাবারে পেঁপে খাবো,মোরা আইজগো রাইতের খাওনে পোম্বা খামু,মোরা আইজ রাইতের খাওনে পেঁপে খাইমু,মোরা আইজগো রাইতের খাওনে পোম্বা খামু,মোরা আইজ রাইতের খাওনে কোম্বা খামু,মোরা আইজগো রাইতের খাওনে পোম্বা খামু,barishal
তুমি কি নাশপাতি খাবে ,তুই কি নাশপাতি খাবি ,তুমি কি নাশপাতি খাইবা,তুই কি নাশপাতি খাবি ,তুমি কি নাশপাতি খাবা,তুই কি নাশপাতি খাবি ,barishal
সে একটি পাকা আম কিনলো,হে এক্কখান পাকা আম কেনছে,হে একখান পাকা আম কিনলো,হে এক্কখান পাকা আম কেনছে,হ্যায় এউক্কা পাহা আম কিনছে,হে এক্কখান পাকা আম কেনছে,barishal
আমার মা খেজুর এনেছেন,মোর মায় খেজুর আনছে,মোর মা খেজুর আনছে,মোর মায় খেজুর আনছে,মোর মায় খেজুর আনছে,মোর মায় খেজুর আনছে,barishal
তারা জামরুল খাচ্ছে,হেরা জামরুল খাইতে লাগজে,হেরা জামরুল খাইতাছে,হেরা জামরুল খাইতে আছে,হ্যারা লকট খাইতে আছে,হেরা জামরুল খাইতে লাগজে,barishal
সে আঙুরের রস তৈরি করছে,হে আঙ্গুরের শরবোত বানাইতে লাগজে,হে আঙ্গুরের রস বানাইতাছে,হে আঙ্গুরের শরবোত বানাইতে আছে,হ্যায় আঙ্গুরের রস বানাইতে আছে,হে আঙ্গুরের শরবোত বানাইতে লাগজে,barishal
শিক্ষক আপেল খাচ্ছেন,মাস্টার আপেল খাইতে লাগজে,মাষ্টার আপেল খাইতাছে,মাস্টার আপেল খাইতে আছে,শিক্কক আপেল খাইতে আছে,মাস্টার আপেল খাইতে লাগজে,barishal
বাচ্চারা জাম্বুরা খাচ্ছে,পোলাপাইনে ছোলোম খাইতে লাগজে,পোলাপান জাম্বুরা খাইতাছে,পোলাপাইনে ছোলোম খাইতে আছে,গেদুরা ছোলোম খাইতে আছে,পোলাপাইনে ছোলোম খাইতে লাগজে,barishal
আমি মাল্টা খাচ্ছি,মুই মাল্টা খাইতে আছি,মুই মাল্টা খাইতাছি,মুই মাল্টা খাইতে আছি,মুই মাল্টা খাইতে আছি,মুই মাল্টা খাইতে আছি,barishal
গোলাপ খুব সুন্দর ফুল,গোলাপ খুউব চমেতকার ফুল,গোলাপ বেমালা সুন্দর ফুল,গোলাপ খুউব চমেতকার ফুল,গোলাপ বেমালা সুন্দর ফুল,গোলাপ খুউব চমেতকার ফুল,barishal
সে গাঁদা ফুল তুলছে,হে গান্দা ফুল তোলতে লাগজে,হে গাঁদা ফুল তুলতাছে,হে গান্দা ফুল তোলতে আছে,হ্যায় গাঁদা ফুল তোলতে আছে,হে গান্দা ফুল তোলতে লাগজে,barishal
আমার বোন শাপলা পছন্দ করে,মোর বুইনে হাপলা ভালো পায়,মোর বইন শাপলা পছন্দ করে,মোর বুইনে হাপলা ভালো পায়,মোর বুইন শাপলা পছন্দ করে,মোর বুইনে হাপলা ভালো পায়,barishal
তোমার মা কি বেলি ফুল এনেছেন ,তোগো মায় কি বেলি ফুল আনছে ,তোমার মা কি বেলি ফুল আনছে,তোগো মায় কি বেলি ফুল আনছে ,তোমার মায় কি বেলি ফুল আনছে,তোগো মায় কি বেলি ফুল আনছে ,barishal
আমরা আজ রজনীগন্ধা কিনবো,মোরা আইজগো রজনীগন্ধা কিনমু,মোরা আইজ রজনীগন্ধা কিনমু,মোরা আইজগো রজনীগন্ধা কিনমু,মোরা আইজ রজনীগন্ধা কিনমু,মোরা আইজগো রজনীগন্ধা কিনমু,barishal
তারা সূর্যমুখী ফুল দেখছে,হেরা সূর্যমুখী ফুল দ্যাখতে লাগজে,হেরা সূর্যমুখী ফুল দেখতাছে,হেরা সূর্যমুখী ফুল দ্যাখতে আছে,হ্যারা সূর্যমুখী ফুল দেখ্তে আছে,হেরা সূর্যমুখী ফুল দ্যাখতে লাগজে,barishal
পদ্ম ফুল পুকুরে ফোটে,পদ্ম ফুল পুহুরে ফোডে,পদ্ম ফুল পুকুরে ফোটে,পদ্ম ফুল পুহুরে ফোডে,পদ্ম ফুল পুহুইরে ফোটে,পদ্ম ফুল পুহুরে ফোডে,barishal
মেয়েটি জুঁই ফুল ভালোবাসে,মাইয়াউজ্ঞা জুঁই ফুল ভালো পায়,মাইয়াডা জুঁই ফুল ভালোবাসে,মাইয়াউজ্ঞা জুঁই ফুল ভালো পায়,মাইয়াডা জুঁই ফুল ভালোবাসে,মাইয়াডা জুঁই ফুল ভালো পায়,barishal
দোকানদার চন্দ্রমল্লিকা বিক্রি করছে,দোহানদারে চন্দ্র মল্লিকা ব্যাচতে লাগজে,দোকানদার চন্দ্রমল্লিকা বেচতাছে,দোহানদারে চন্দ্র মল্লিকা ব্যাচতে আছে,দোকানদার চন্দ্রমল্লিকা বেচতে আছে,দোহানদারে চন্দ্র মল্লিকা ব্যাচতে লাগজে,barishal
আমি জবা ফুল দেখছি,মুই জবা ফুল দ্যাখতে আছি ,মুই জবা ফুল দেখতাছি,মুই জবা ফুল দ্যাখতে আছি ,মুই জবা ফুল দেখ্তে আছি,মুই জবা ফুল দ্যাখতে আছি ,barishal
তিনি হাসনাহেনা এনেছেন,হে হাসনাহেনা আনছে,হে হাসনাহেনা আনছে,হে হাসনাহেনা আনছে,হ্যায় হাসনাহেনা আনছে,হে হাসনাহেনা আনছে,barishal
তারা কদম ফুল দেখছে,হেরা কদম ফুল দ্যাখতে লাগজে,হেরা কদম ফুল দেখতাছে,হেরা কদম ফুল দ্যাখতে আছে,হ্যারা কদম ফুল দেখ্তে আছে,হেরা কদম ফুল দ্যাখতে লাগজে,barishal
করিম টগর ফুল পছন্দ করে,করিম টগর ফুল ভালো পায়,করিম টগর ফুল পছন্দ করে,করিম টগর ফুল ভালো পায়,করিম টগর ফুল পছন্দ করে,করিম টগর ফুল ভালো পায়,barishal
সে ডালিয়া ফুলের ছবি তুলছে,হে ডালিয়া ফুলের ছবি তোলতে লাগজে,হে ডালিয়া ফুলের ছবি তুলতাছে,হে ডালিয়া ফুলের ছবি তোলতে আছে,হ্যায় ডালিয়া ফুলের ছবি তোলতে আছে,হে ডালিয়া ফুলের ছবি তোলতে লাগজে,barishal
তুমি কি শিউলি ফুল দেখেছো ,তুই কি শিউলি ফুল দ্যাখছো ,তুমি কি শিউলি ফুল দেখছো,তুই কি শিউলি ফুল দ্যাখছো ,তুমি কি শিউলি ফুল দেখছো,তুই কি শিউলি ফুল দ্যাখছো ,barishal
সে একটি লাল গোলাপ কিনলো,হেয় এউক্কা রাঙ্গা গোলাপ কেনছে,হে একখান লাল গোলাপ কিনলো,হেয় এউক্কা রাঙ্গা গোলাপ কেনছে,হ্যায় এউক্কা লাল গোলাপ কিনছে,হেয় এউক্কা রাঙ্গা গোলাপ কেনছে,barishal
আমার মা কৃষ্ণচূড়া ফুলের ছবি তুলেছেন,মোগো মায় কৃষ্ণচূড়া ফুলের ছবি তোলছে,মোর মা কৃষ্ণচূড়া ফুলের ছবি তুলছে,মোগো মায় কৃষ্ণচূড়া ফুলের ছবি তোলছে,মোর মায় কৃষ্ণচূড়া ফুলের ছবি তোলছে,মোগো মায় কৃষ্ণচূড়া ফুলের ছবি তোলছে,barishal
তারা অপরাজিতা ফুল দেখছে,হেরা অপরাজিতা ফুল দ্যাখতে লাগজে,হেরা অপরাজিতা ফুল দেখতাছে,হেরা অপরাজিতা ফুল দ্যাখতে আছে ,হ্যারা অপরাজিতা ফুল দেখ্তে আছে,হেরা অপরাজিতা ফুল দ্যাখতে লাগজে,barishal
সে ফুলের মালা তৈরি করছে,হে ফুলের মালা বানাইতে লাগজে,হে ফুলের মালা বানাইতাছে,হে ফুলের মালা বানাইতে আছে ,হ্যায় ফুলের মালা বানাইতে আছে,হে ফুলের মালা বানাইতে লাগজে,barishal
শিক্ষক জারবেরা ফুল পছন্দ করেন,মাস্টার জারবেরা ফুল ভালো পায়,মাষ্টার জারবেরা ফুল পছন্দ করেন,মাস্টার জারবেরা ফুল ভালো পায়,শিক্কক জারবেরা ফুল পছন্দ করে,মাস্টার জারবেরা ফুল ভালো পায়,barishal
বাচ্চারা দোলনচাঁপা ফুল দেখছে,পোলাপান দোলনচাঁপা ফুল দ্যাখতে লাগজে,পোলাপান দোলনচাঁপা ফুল দেখতাছে,পোলাপান দোলনচাঁপা ফুল দ্যাখতে আছে ,গেদুরা দোলনচাঁপা ফুল দেখ্তে আছে,পোলাপান দোলনচাঁপা ফুল দ্যাখতে লাগজে,barishal
তিনি কাঠগোলাপের সুগন্ধ নিচ্ছেন,হে কাঠ গোলাপের ঘেরান নেতে লাগজে,হে কাঠগোলাপের সুগন্ধ লিতাছে,হে কাঠ গোলাপের ঘেরান নেতে আছে ,হ্যায় কাঠগোলাপের সুগন্ধ নেতে আছে,হে কাঠ গোলাপের ঘেরান নেতে লাগজে,barishal
আমি স্থলপদ্ম দেখছি,মুই স্থলপদ্ম দ্যাখতে লাগজি,মুই স্থলপদ্ম দেখতাছি,মুই স্থলপদ্ম দ্যাখতে লাগজি,মুই স্থলপদ্ম দেখ্তে আছি,মুই স্থলপদ্ম দ্যাখতে লাগজি,barishal
রিকশাটা খুব আস্তে চলছে,রিসকাউজ্ঞা খুউব আছতে চলতে লাগজে,রিকশাডা বেমালা আস্তে চলতাছে,রিসকাউজ্ঞা খুউব আছতে চলতে আছে ,রিকশাডা বেমালা আস্তে চলতে আছে,রিসকাডা খুউব আছতে চলতে লাগজে,barishal
সে বাসে করে ঢাকা যাবে,হে বাসে হইরা ঢাকা যাইবে,হে বাসে কইরা ঢাকা যাইবো,হে বাসে হইরা ঢাকা যাইবে,হ্যায় বাসে কইররা ঢাকা যাইবে,হে বাসে হইরা ঢাকা যাইবে,barishal
আমার ভাই সিএনজি চালায়,মোর ভাই সিঞ্জি চলায়,মোর ভাই সিএনজি চালায়,মোর ভাই সিঞ্জি চলায়,মোর ভাই সিএনজি চালায়,মোর ভাই সিঞ্জি চলায়,barishal
তোমার বাবা কি মোটরসাইকেল ব্যবহার করেন ,তোর বাপে কি মটরসাইকেল চলায় ,তোমার বাপ কি মোটরসাইকেল ব্যবহার করেন,তোর বাপে কি মটরসাইকেল চলায় ,তোমার বাপ কি মোটরসাইকেল ব্যবহার করে,তোর বাপে কি মটরসাইকেল চলায় ,barishal
তারা লোকাল ট্রেনে করে বাড়ি ফিরছে,হেরা লোকাল টেরেনে হইররা ঘরে যাইতে লাগজে,হেরা লোকাল ট্রেনে কইরা বাড়ি ফিরতাছে,হেরা লোকাল টেরেনে হইররা ঘরে যাইতে আছে ,হ্যারা লোকাল ট্রেইনে কইররা বাড়ি ফিরতে আছে,হেরা লোকাল টেরেনে হইররা ঘরে যাইতে লাগজে,barishal
অটোটা খুব জোরে চলছে,অটোউজ্ঞা খুউব জোরে চলতে লাগজে,অটোডা বেমালা জোরে চলতাছে,অটোউজ্ঞা খুউব জোরে চলতে আছে ,অটোডা বেমালা জোরে চলতে আছে,অটোডা খুউব জোরে চলতে লাগজে,barishal
